,이름,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,BABIP,RE24,WPA,타순,이닝,상황,스코어,wpa
0,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,0.275,-14.98,-1.36,2,3,무사 1루,0:00,-0.019
1,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,0.275,-14.98,-1.36,1,5,무사 1루,1:01,-0.022
2,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,0.275,-14.98,-1.36,1,8,무사 1루,1:01,-0.019
3,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,0.275,-14.98,-1.36,1,7,무사 1루,2:03,-0.011
4,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,0.275,-14.98,-1.36,1,9,무사 1루,2:01,-0.008
5,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,0.275,-14.98,-1.36,2,1,무사 1루,0:00,-0.018
0,강민호,2019,삼성,34,C,112,393,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.719,0.327,92.2,1.84,0.262,-4.84,0.46,7,6,무사 1루,3:03,-0.023
1,강민호,2019,삼성,34,C,112,393,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.719,0.327,92.2,1.84,0.262,-4.84,0.46,5,8,무사 1루,0:02,-0.003
0,이학주,2019,삼성,29,SS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.8,0.321,-15.98,-0.2,9,9,무사 1루,1:01,-0.024
1,이학주,2019,삼성,29,SS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.8,0.321,-15.98,-0.2,9,6,무사 1루,3:03,-0.021
2,이학주,2019,삼성,29,SS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.8,0.321,-15.98,-0.2,2,8,무사 1루,1:01,-0.019
0,박계범,2019,삼성,23,SS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.74,0.336,100,1.02,0.32,-2.91,-0.34,2,8,무사 1루,2:00,-0.007
1,박계범,2019,삼성,23,SS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.74,0.336,100,1.02,0.32,-2.91,-0.34,8,8,무사 1루,3:03,-0.019
2,박계범,2019,삼성,23,SS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.74,0.336,100,1.02,0.32,-2.91,-0.34,2,5,무사 1루,2:01,-0.016
0,정수빈,2019,두산,29,CF,123,513,441,75,117,19,5,0,146,42,26,8,57,6,0,60,6,4,5,0.265,0.354,0.331,0.685,0.325,95,2.08,0.303,1.5,0.15,9,3,무사 1루,0:00,-0.019
1,정수빈,2019,두산,29,CF,123,513,441,75,117,19,5,0,146,42,26,8,57,6,0,60,6,4,5,0.265,0.354,0.331,0.685,0.325,95,2.08,0.303,1.5,0.15,2,1,무사 1루,0:00,-0.017
0,허경민,2019,두산,29,3B,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,0.288,0.35,0.371,0.721,0.334,102.7,2.47,0.298,-5.38,-0.25,5,6,무사 1루,0:02,-0.008
1,허경민,2019,두산,29,3B,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,0.288,0.35,0.371,0.721,0.334,102.7,2.47,0.298,-5.38,-0.25,6,1,무사 1루,4:04,-0.013
0,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,8,2,무사 1루,2:00,-0.012
1,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,7,7,무사 1루,3:01,-0.009
2,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,6,8,무사 1루,2:03,-0.007
3,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,8,9,무사 1루,1:00,-0.008
4,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,7,8,무사 1루,5:02,-0.004
5,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,7,3,무사 1루,1:04,-0.007
6,박세혁,2019,두산,29,C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,0.317,8.88,1.02,6,2,무사 1루,0:00,-0.018
0,김재호,2019,두산,34,SS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5,2.92,0.298,-6.75,-0.2,9,7,무사 1루,0:02,-0.006
1,김재호,2019,두산,34,SS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5,2.92,0.298,-6.75,-0.2,7,4,무사 1루,1:01,-0.019
2,김재호,2019,두산,34,SS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5,2.92,0.298,-6.75,-0.2,7,7,무사 1루,1:02,-0.034
3,김재호,2019,두산,34,SS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5,2.92,0.298,-6.75,-0.2,7,9,무사 1루,4:01,-0.002
4,김재호,2019,두산,34,SS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5,2.92,0.298,-6.75,-0.2,8,7,무사 1루,1:02,-0.011
0,박민우,2019,NC,26,2B,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,0.344,0.403,0.434,0.836,0.387,134.7,4.66,0.37,14.3,1.68,3,6,무사 1루,2:02,-0.023
0,권희동,2019,NC,29,RF,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,0.256,0.358,0.356,0.714,0.334,99.2,1.3,0.291,-5.42,0.18,6,7,무사 1루,3:04,-0.011
1,권희동,2019,NC,29,RF,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,0.256,0.358,0.356,0.714,0.334,99.2,1.3,0.291,-5.42,0.18,5,6,무사 1루,3:02,-0.03
0,노진혁,2019,NC,30,SS,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,0.264,0.326,0.454,0.78,0.345,105.8,2.34,0.306,-0.75,-0.48,7,8,무사 1루,3:02,-0.013
1,노진혁,2019,NC,30,SS,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,0.264,0.326,0.454,0.78,0.345,105.8,2.34,0.306,-0.75,-0.48,2,6,무사 1루,6:02,-0.004
2,노진혁,2019,NC,30,SS,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,0.264,0.326,0.454,0.78,0.345,105.8,2.34,0.306,-0.75,-0.48,6,7,무사 1루,1:02,-0.011
0,김성욱,2019,NC,26,CF,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,0.23,0.303,0.387,0.689,0.306,79.4,0.61,0.266,-5.31,-0.28,9,3,무사 1루,1:00,-0.016
1,김성욱,2019,NC,26,CF,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,0.23,0.303,0.387,0.689,0.306,79.4,0.61,0.266,-5.31,-0.28,2,1,무사 1루,0:00,-0.018
2,김성욱,2019,NC,26,CF,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,0.23,0.303,0.387,0.689,0.306,79.4,0.61,0.266,-5.31,-0.28,9,7,무사 1루,2:00,-0.009
