,이름,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,BABIP,RE24,WPA,타순,이닝,상황,스코어,wpa
0,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.300,77.0,1.28,0.275,-14.98,-1.36,2,3,무사 1루,0:0,-0.019
1,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.300,77.0,1.28,0.275,-14.98,-1.36,1,5,무사 1루,1:1,-0.022
2,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.300,77.0,1.28,0.275,-14.98,-1.36,1,8,무사 1루,1:1,-0.019
3,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.300,77.0,1.28,0.275,-14.98,-1.36,1,7,무사 1루,2:3,-0.011
4,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.300,77.0,1.28,0.275,-14.98,-1.36,1,9,무사 1루,2:1,-0.008
5,박해민,2019,삼성,29,CF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.300,77.0,1.28,0.275,-14.98,-1.36,2,1,무사 1루,0:0,-0.018
0,이학주,2019,삼성,29,SS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.80,0.321,-15.98,-0.20,9,9,무사 1루,1:1,-0.024
1,이학주,2019,삼성,29,SS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.80,0.321,-15.98,-0.20,9,6,무사 1루,3:3,-0.021
2,이학주,2019,삼성,29,SS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.80,0.321,-15.98,-0.20,2,8,무사 1루,1:1,-0.019
0,박계범,2019,삼성,23,SS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.740,0.336,100.0,1.02,0.320,-2.91,-0.34,2,8,무사 1루,2:0,-0.007
1,박계범,2019,삼성,23,SS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.740,0.336,100.0,1.02,0.320,-2.91,-0.34,8,8,무사 1루,3:3,-0.019
2,박계범,2019,삼성,23,SS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.740,0.336,100.0,1.02,0.320,-2.91,-0.34,2,5,무사 1루,2:1,-0.016
