타자,도루RAA,도루 성공,도루 실패,상대,도루,도실,도실%,도루기회,도루시도%,SPD,도루 성공 여부
강민호,1.34,4,0,LG,41,28,40.6,1091,6.3,3.2,도루
강민호,1.34,4,0,넥센,61,49,44.6,1620,6.8,3.2,도루
강민호,1.34,4,0,한화,81,36,30.8,1316,8.9,3.2,도루
김경언,0.84,3,0,KIA,60,12,16.7,908,7.9,3.3,도루
김경언,0.84,3,0,넥센,61,49,44.6,1620,6.8,3.3,도루
김경언,0.84,3,0,롯데,62,37,37.4,1347,7.4,3.3,도루
김민하,0.83,4,0,KIA,60,12,16.7,908,7.9,4.7,도루
김민하,0.83,4,0,KIA,60,12,16.7,908,7.9,4.7,도루
김민하,0.83,4,0,KIA,60,12,16.7,908,7.9,4.7,도루
김민하,0.83,4,0,LG,41,28,40.6,1091,6.3,4.7,도루
김용의,0.73,19,7,KIA,60,12,16.7,908,7.9,7.2,도루
김용의,0.73,19,7,KIA,60,12,16.7,908,7.9,7.2,도루
김용의,0.73,19,7,KIA,60,12,16.7,908,7.9,7.2,도루
김용의,0.73,19,7,kt,39,36,48,1141,6.6,7.2,도루
김용의,0.73,19,7,kt,39,36,48,1141,6.6,7.2,도루
김용의,0.73,19,7,kt,39,36,48,1141,6.6,7.2,도루
김용의,0.73,19,7,SK,81,45,35.7,1512,8.3,7.2,도루
김용의,0.73,19,7,SK,81,45,35.7,1512,8.3,7.2,실패
김용의,0.73,19,7,SK,81,45,35.7,1512,8.3,7.2,실패
김용의,0.73,19,7,SK,81,45,35.7,1512,8.3,7.2,실패
김용의,0.73,19,7,SK,81,45,35.7,1512,8.3,7.2,도루
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,실패
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,도루
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,도루
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,도루
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,실패
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,도루
김용의,0.73,19,7,넥센,61,49,44.6,1620,6.8,7.2,도루
김용의,0.73,19,7,두산,56,26,31.7,1236,6.6,7.2,실패
김용의,0.73,19,7,두산,56,26,31.7,1236,6.6,7.2,도루
김용의,0.73,19,7,두산,56,26,31.7,1236,6.6,7.2,도루
김용의,0.73,19,7,롯데,62,37,37.4,1347,7.4,7.2,실패
김용의,0.73,19,7,삼성,82,42,33.9,1471,8.4,7.2,실패
김용의,0.73,19,7,삼성,82,42,33.9,1471,8.4,7.2,도루
김용의,0.73,19,7,삼성,82,42,33.9,1471,8.4,7.2,도루
김재환,1.17,8,2,KIA,60,12,16.7,908,7.9,5,도루
김재환,1.17,8,2,kt,39,36,48,1141,6.6,5,도루
김재환,1.17,8,2,LG,41,28,40.6,1091,6.3,5,도루
김재환,1.17,8,2,LG,41,28,40.6,1091,6.3,5,도루
김재환,1.17,8,2,LG,41,28,40.6,1091,6.3,5,실패
김재환,1.17,8,2,SK,81,45,35.7,1512,8.3,5,도루
김재환,1.17,8,2,롯데,62,37,37.4,1347,7.4,5,도루
김재환,1.17,8,2,롯데,62,37,37.4,1347,7.4,5,실패
김재환,1.17,8,2,롯데,62,37,37.4,1347,7.4,5,도루
김재환,1.17,8,2,삼성,82,42,33.9,1471,8.4,5,도루
김재환,1.17,8,2,한화,81,36,30.8,1316,8.9,5,실패
노수광,1.68,12,2,kt,39,36,48,1141,6.6,7.7,도루
노수광,1.68,12,2,LG,41,28,40.6,1091,6.3,7.7,실패
노수광,1.68,12,2,NC,60,34,36.2,1491,6.3,7.7,도루
노수광,1.68,12,2,SK,81,45,35.7,1512,8.3,7.7,도루
노수광,1.68,12,2,넥센,61,49,44.6,1620,6.8,7.7,실패
노수광,1.68,12,2,넥센,61,49,44.6,1620,6.8,7.7,도루
노수광,1.68,12,2,넥센,61,49,44.6,1620,6.8,7.7,도루
노수광,1.68,12,2,롯데,62,37,37.4,1347,7.4,7.7,도루
노수광,1.68,12,2,롯데,62,37,37.4,1347,7.4,7.7,도루
노수광,1.68,12,2,삼성,82,42,33.9,1471,8.4,7.7,도루
노수광,1.68,12,2,삼성,82,42,33.9,1471,8.4,7.7,도루
노수광,1.68,12,2,한화,81,36,30.8,1316,8.9,7.7,도루
노수광,1.68,12,2,한화,81,36,30.8,1316,8.9,7.7,도루
노수광,1.68,12,2,한화,81,36,30.8,1316,8.9,7.7,도루
대니돈,0.72,1,0,KIA,60,12,16.7,908,7.9,2.9,실패
대니돈,0.72,1,0,삼성,82,42,33.9,1471,8.4,2.9,도루
문선재,1.11,5,0,KIA,60,12,16.7,908,7.9,7.5,도루
문선재,1.11,5,0,KIA,60,12,16.7,908,7.9,7.5,도루
문선재,1.11,5,0,KIA,60,12,16.7,908,7.9,7.5,실패
문선재,1.11,5,0,넥센,61,49,44.6,1620,6.8,7.5,도루
문선재,1.11,5,0,두산,56,26,31.7,1236,6.6,7.5,도루
문선재,1.11,5,0,롯데,62,37,37.4,1347,7.4,7.5,도루
문선재,1.11,5,0,삼성,82,42,33.9,1471,8.4,7.5,도루
민병헌,1.45,9,2,KIA,60,12,16.7,908,7.9,4.9,도루
민병헌,1.45,9,2,kt,39,36,48,1141,6.6,4.9,실패
민병헌,1.45,9,2,NC,60,34,36.2,1491,6.3,4.9,도루
민병헌,1.45,9,2,NC,60,34,36.2,1491,6.3,4.9,도루
민병헌,1.45,9,2,NC,60,34,36.2,1491,6.3,4.9,도루
민병헌,1.45,9,2,SK,81,45,35.7,1512,8.3,4.9,도루
민병헌,1.45,9,2,SK,81,45,35.7,1512,8.3,4.9,도루
민병헌,1.45,9,2,SK,81,45,35.7,1512,8.3,4.9,도루
민병헌,1.45,9,2,넥센,61,49,44.6,1620,6.8,4.9,실패
민병헌,1.45,9,2,넥센,61,49,44.6,1620,6.8,4.9,도루
민병헌,1.45,9,2,삼성,82,42,33.9,1471,8.4,4.9,도루
민병헌,1.45,9,2,한화,81,36,30.8,1316,8.9,4.9,도루
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,6.7,실패
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,6.7,도루
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,6.7,도루
박민우,1.7,20,6,KIA,60,12,16.7,908,7.9,6.7,도루
박민우,1.7,20,6,kt,39,36,48,1141,6.6,6.7,도루
박민우,1.7,20,6,kt,39,36,48,1141,6.6,6.7,실패
박민우,1.7,20,6,kt,39,36,48,1141,6.6,6.7,도루
박민우,1.7,20,6,kt,39,36,48,1141,6.6,6.7,도루
박민우,1.7,20,6,LG,41,28,40.6,1091,6.3,6.7,실패
박민우,1.7,20,6,SK,81,45,35.7,1512,8.3,6.7,실패
박민우,1.7,20,6,SK,81,45,35.7,1512,8.3,6.7,도루
박민우,1.7,20,6,넥센,61,49,44.6,1620,6.8,6.7,도루
박민우,1.7,20,6,넥센,61,49,44.6,1620,6.8,6.7,실패
박민우,1.7,20,6,넥센,61,49,44.6,1620,6.8,6.7,도루
박민우,1.7,20,6,넥센,61,49,44.6,1620,6.8,6.7,도루
박민우,1.7,20,6,두산,56,26,31.7,1236,6.6,6.7,도루
박민우,1.7,20,6,두산,56,26,31.7,1236,6.6,6.7,도루
박민우,1.7,20,6,두산,56,26,31.7,1236,6.6,6.7,도루
박민우,1.7,20,6,롯데,62,37,37.4,1347,7.4,6.7,도루
