팀,이름,도루,도실,도실%,도루기회,도루시도%,연도
,,,,,,,
,,,,,,,
두산,양의지,70,29,29.3,1172,8.5,14
두산,최재훈,32,15,31.9,484,9.7,14
두산,김재환,10,0,0,193,5.2,14
두산,김응민,2,1,33.3,54,5.6,14
,,,,,,,
두산,양의지,97,40,29.2,1689,8.1,15
두산,최재훈,16,8,33.3,474,5.1,15
,,,,,,,
두산,양의지,56,26,31.7,1236,6.6,16
두산,박세혁,25,16,39,718,5.7,16
두산,최재훈,3,2,40,96,5.2,16
두산,최용제,1,0,0,27,3.7,16
,,,,,,,
두산,양의지,37,21,36.2,1170,5,17
두산,박세혁,30,14,31.8,875,5,17
두산,최재훈,0,1,100,41,2.4,17
두산,박유연,0,0,없음,6,0,17
,,,,,,,
두산,양의지,49,33,40.2,1322,6.2,18
두산,박세혁,15,7,31.8,603,3.7,18
두산,장승현,5,2,28.6,74,9.5,18
두산,이흥련,2,1,33.3,32,9.4,18
,,,,,,,
두산,박세혁,83,25,23.2,1563,6.9,19
두산,장승현,5,4,44.4,188,4.8,19
두산,이흥련,6,3,33.3,121,7.4,19
두산,박유연,0,0,없음,5,0,19
,,,,,,,
두산,박세혁,63,16,20.3,1355,5.8,20
두산,정상호,15,3,16.7,355,5.1,20
두산,최용제,8,5,38.5,197,6.6,20
두산,장승현,9,1,10,138,7.3,20
,,,,,,,
,,,,,,,
삼성,이지영,57,27,32.1,1050,8,14
삼성,이흥련,41,13,24.1,622,8.7,14
삼성,진갑용,3,2,40,30,16.7,14
삼성,김희석,0,1,100,27,3.7,14
,,,,,,,
삼성,이지영,46,35,43.2,1234,6.6,15
삼성,이흥련,23,9,28.1,400,8,15
삼성,진갑용,17,5,22.7,190,11.6,15
삼성,김희석,0,0,,13,0,15
,,,,,,,
삼성,이지영,82,42,33.9,1471,8.4,16
삼성,이흥련,38,14,26.9,681,7.6,16
삼성,이정식,3,3,50,44,13.6,16
삼성,권정웅,0,0,없음,3,0,16
,,,,,,,
삼성,이지영,40,20,33.3,1336,4.5,17
삼성,권정웅,18,8,30.8,570,4.6,17
삼성,최경철,6,3,33.3,194,4.6,17
삼성,나원탁,1,2,66.7,88,3.4,17
,,,,,,,
삼성,강민호,64,27,29.7,1350,6.7,18
삼성,이지영,34,9,20.9,647,6.7,18
삼성,권정웅,5,1,16.7,45,13.3,18
삼성,김민수,0,1,100,22,4.6,18
,,,,,,,
삼성,강민호,64,29,31.2,1332,7,19
삼성,김도환,22,6,21.4,492,5.7,19
삼성,김민수,6,3,33.3,199,4.5,19
삼성,김응민,0,0,없음,57,0,19
,,,,,,,
삼성,강민호,34,27,44.3,1346,4.5,20
삼성,김응민,12,4,25,393,4.1,20
삼성,김도환,9,4,30.8,216,6,20
삼성,김민수,3,2,40,101,5,20
,,,,,,,
,,,,,,,
NC,김태군,67,27,28.7,1236,7.6,14
NC,이태원,16,10,38.5,358,7.3,14
NC,허준,7,3,30,156,6.4,14
NC,이승재,2,2,50,59,6.8,14
,,,,,,,
NC,김태군,75,36,32.4,1559,7.1,15
NC,용덕한,9,1,10,238,4.2,15
NC,박대은,2,0,0,114,1.8,15
,,,,,,,
